# Detailed performance comparison of introsort::sort and std::slice::sort.
# I benchmark various "patterns" (methods of generating lists), modified 
# by varioues "variants" (ways of "shuffling" the generated list).
# These patterns and variant are parametrized by a parameters m.
#
# The patterns are
# * sawtooth: v[i] = i % m
# * rand: v[i] = random()
# * stagger: v[i] = (i*m + i) % size
# * plateau: v[i] = min(i, m)
# * shuffle: if random() / m == 0 { j+=2; j } else { k += 2; k }
#
# The variations are
# * ident: no change
# * reverse: reversed
# * reverse_front: first half reversed
# * reverse_back: second hald reversed
# * sort: sorted
# * dither: v[i] += i % 5
#
# The type of the elements sorted was i32.
# Listed below are values for throughput (elements / microsecond).
# Taking the geometric mean for introsort we get 93.8, compared to 37.0 for std.
#
# Both algorithms use insertion sort for small lists, so size = 10 only compares
# the repective insertion sort implementations.
# For larger values it can be seen that introsort is many times faster than std when
# the list has few unique elements or is (partially) sorted.

size     m        pattern   variant        introsort  std    introsort/std
1000000  16       shuffle   reverse_front  91.2       23.1   3.95
1000000  16       shuffle   reverse_back   90.5       23.2   3.90
1000000  16       shuffle   sort           99.7       28.3   3.52
1000000  16       shuffle   dither         93.2       28.1   3.31
1000000  32       sawtooth  ident          82.9       18.7   4.44
1000000  32       sawtooth  reverse        84.3       14.6   5.77
1000000  32       sawtooth  reverse_front  81.5       16.4   4.96
1000000  32       sawtooth  reverse_back   80.6       16.2   4.99
1000000  32       sawtooth  sort           212.5      27.4   7.75
1000000  32       sawtooth  dither         68.2       18.4   3.70
1000000  32       rand      ident          13.5       14.7   0.92
1000000  32       rand      reverse        13.4       14.7   0.91
1000000  32       rand      reverse_front  13.4       14.7   0.91
1000000  32       rand      reverse_back   13.5       14.8   0.91
1000000  32       rand      sort           101.2      28.2   3.59
1000000  32       rand      dither         13.5       14.8   0.92
1000000  32       stagger   ident          23.5       23.3   1.01
1000000  32       stagger   reverse        23.6       17.7   1.33
1000000  32       stagger   reverse_front  23.5       20.0   1.18
1000000  32       stagger   reverse_back   23.5       20.3   1.16
1000000  32       stagger   sort           102.7      28.2   3.64
1000000  32       stagger   dither         23.6       23.5   1.00
1000000  32       plateau   ident          561.7      28.1   20.01
1000000  32       plateau   reverse        565.3      28.2   20.05
1000000  32       plateau   reverse_front  567.5      28.3   20.04
1000000  32       plateau   reverse_back   563.1      28.2   19.96
1000000  32       plateau   sort           544.7      28.2   19.28
1000000  32       plateau   dither         225.0      17.5   12.83
1000000  32       shuffle   ident          102.5      28.2   3.64
1000000  32       shuffle   reverse        91.2       20.4   4.48
1000000  32       shuffle   reverse_front  91.9       22.9   4.01
1000000  32       shuffle   reverse_back   89.6       23.0   3.90
1000000  32       shuffle   sort           102.3      28.0   3.65
1000000  32       shuffle   dither         97.1       27.8   3.49
1000000  64       sawtooth  ident          69.9       19.2   3.65
